EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-18.219,-41.144,-32.786,-13.304,-26.354,-11.724,-18.644,-34.389,-0.041,0.920,-0.468,1.068,-0.916,-0.549,73.333,18463.000,1.000
-18.711,-41.867,-35.664,-12.746,-24.503,-11.350,-23.434,-37.150,-0.039,0.922,-0.469,0.885,-1.129,-0.610,73.333,18464.000,1.000
-20.468,-46.163,-41.124,-12.750,-23.743,-11.639,-28.223,-37.789,-0.037,0.921,-0.466,0.763,-1.129,-0.702,73.333,18465.000,1.000
-22.474,-52.057,-45.794,-12.095,-22.872,-9.198,-30.706,-33.091,-0.035,0.920,-0.464,0.580,-1.221,-0.793,73.333,18466.000,1.000
-24.125,-57.893,-47.555,-10.772,-21.678,-2.726,-30.551,-22.653,-0.033,0.921,-0.467,0.488,-1.373,-0.763,73.333,18467.000,1.000
-25.296,-63.306,-46.509,-10.101,-20.770,6.234,-28.759,-8.297,-0.032,0.923,-0.464,0.336,-1.373,-0.916,73.333,18468.000,1.000
-26.243,-68.499,-43.936,-11.553,-20.881,14.670,-26.689,7.229,-0.032,0.923,-0.464,0.244,-1.465,-0.885,73.333,18469.000,1.000
-27.523,-73.458,-40.853,-15.483,-22.251,20.232,-25.011,21.631,-0.032,0.924,-0.466,0.183,-1.556,-0.824,73.333,18470.000,1.000
-29.553,-77.856,-37.649,-20.988,-24.380,22.398,-23.083,33.851,-0.030,0.924,-0.467,0.000,-1.495,-0.732,73.333,18471.000,1.000
-32.010,-80.646,-34.330,-26.671,-26.241,22.005,-20.607,43.060,-0.029,0.921,-0.465,-0.122,-1.404,-0.641,73.333,18472.000,1.000
-33.843,-80.441,-30.632,-31.052,-26.595,20.720,-17.261,49.193,-0.028,0.920,-0.466,-0.305,-1.312,-0.519,73.333,18473.000,1.000
-33.954,-76.170,-26.153,-33.076,-24.608,20.021,-13.193,52.473,-0.025,0.917,-0.460,-0.458,-1.343,-0.580,73.333,18474.000,1.000
-31.970,-67.872,-20.782,-32.639,-20.154,20.208,-9.209,52.739,-0.026,0.917,-0.464,-0.488,-1.282,-0.397,73.333,18475.000,1.000
-28.468,-56.822,-14.965,-30.451,-13.765,20.493,-5.714,49.766,-0.024,0.916,-0.466,-0.580,-1.282,-0.244,73.333,18476.000,1.000
-24.471,-44.308,-9.311,-27.323,-6.638,19.869,-3.309,42.867,-0.025,0.913,-0.463,-0.580,-1.190,-0.122,73.333,18477.000,1.000
-20.858,-31.111,-4.124,-23.247,-0.273,18.284,-2.104,31.850,-0.028,0.909,-0.465,-0.641,-1.099,-0.031,73.333,18478.000,1.000
-18.010,-17.577,0.475,-17.623,4.106,16.381,-2.230,17.154,-0.029,0.909,-0.463,-0.549,-1.038,0.000,73.333,18479.000,1.000
-15.708,-4.101,4.154,-10.133,6.191,14.565,-3.895,0.092,-0.028,0.908,-0.464,-0.427,-0.916,-0.061,73.333,18480.000,1.000
-13.368,8.612,6.513,-0.924,6.713,12.828,-6.329,-16.676,-0.027,0.909,-0.461,-0.458,-0.885,0.122,73.333,18481.000,1.000
-10.534,20.066,7.695,9.719,6.865,10.988,-8.642,-30.559,-0.028,0.907,-0.460,-0.427,-0.854,0.061,73.333,18482.000,1.000
-7.177,29.854,8.482,21.752,7.795,9.265,-9.599,-39.496,-0.029,0.907,-0.460,-0.397,-0.824,0.122,73.333,18483.000,1.000
-3.470,37.747,9.790,35.152,10.224,8.258,-8.571,-42.898,-0.031,0.906,-0.461,-0.366,-0.824,0.153,73.333,18484.000,1.000
0.341,43.620,12.006,49.485,14.227,8.682,-5.936,-41.685,-0.031,0.906,-0.463,-0.458,-0.824,0.122,73.333,18485.000,1.000
3.785,47.037,14.679,63.782,19.089,11.090,-2.148,-36.964,-0.031,0.905,-0.464,-0.305,-0.671,0.122,73.333,18486.000,1.000
