EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-83.517,-212.833,-198.305,1.211,-414.180,-106.783,-182.982,7.811,-0.038,0.989,-0.207,-0.031,-0.641,0.000,80.000,39664.000,1.000
-77.810,-207.440,-201.556,2.217,-400.310,-105.625,-178.716,7.751,-0.038,0.988,-0.209,-0.122,-0.702,0.000,80.000,39665.000,1.000
-70.892,-200.472,-199.529,4.642,-386.746,-101.699,-172.512,6.890,-0.038,0.988,-0.208,-0.031,-0.610,-0.031,80.000,39666.000,1.000
-63.217,-192.716,-191.768,7.784,-370.908,-96.545,-165.166,4.288,-0.035,0.989,-0.206,-0.061,-0.488,-0.031,80.000,39667.000,1.000
-56.001,-185.695,-180.122,9.858,-353.979,-91.763,-157.833,0.219,-0.036,0.987,-0.209,0.031,-0.580,-0.061,80.000,39668.000,1.000
-49.925,-180.081,-166.535,9.752,-338.145,-87.771,-150.690,-3.431,-0.035,0.986,-0.213,0.000,-0.488,-0.092,80.000,39669.000,1.000
-45.172,-175.611,-152.592,7.358,-323.539,-83.943,-143.354,-5.193,-0.036,0.984,-0.211,0.092,-0.580,-0.061,80.000,39670.000,1.000
-41.765,-171.629,-140.088,3.211,-308.420,-79.584,-135.579,-5.118,-0.034,0.984,-0.208,0.214,-0.580,-0.092,80.000,39671.000,1.000
-38.989,-166.912,-129.973,-1.387,-290.898,-74.490,-126.636,-4.139,-0.035,0.983,-0.206,0.336,-0.488,0.000,80.000,39672.000,1.000
-36.170,-160.442,-122.967,-5.326,-271.561,-69.251,-116.710,-3.860,-0.033,0.983,-0.209,0.427,-0.488,-0.092,80.000,39673.000,1.000
-32.192,-151.344,-118.422,-7.300,-251.558,-64.557,-105.876,-4.985,-0.035,0.984,-0.209,0.580,-0.427,-0.153,80.000,39674.000,1.000
-26.683,-140.051,-115.324,-6.882,-231.214,-61.083,-94.532,-7.062,-0.037,0.984,-0.206,0.702,-0.305,-0.153,80.000,39675.000,1.000
-20.573,-128.412,-113.252,-4.877,-210.174,-59.389,-83.702,-9.117,-0.037,0.985,-0.209,0.763,-0.336,-0.275,80.000,39676.000,1.000
-14.575,-117.705,-111.234,-2.098,-187.602,-59.386,-73.547,-10.467,-0.035,0.985,-0.209,0.854,-0.458,-0.275,80.000,39677.000,1.000
-9.165,-108.253,-108.859,0.515,-164.126,-60.423,-64.249,-11.550,-0.036,0.985,-0.211,0.977,-0.397,-0.305,80.000,39678.000,1.000
-3.937,-99.312,-105.558,2.662,-140.742,-61.117,-55.192,-12.068,-0.039,0.984,-0.208,1.129,-0.519,-0.305,80.000,39679.000,1.000
1.427,-90.300,-101.116,4.152,-118.261,-60.035,-45.770,-10.692,-0.037,0.985,-0.209,1.221,-0.488,-0.275,80.000,39680.000,1.000
6.672,-81.335,-95.963,4.906,-97.210,-56.469,-36.194,-6.514,-0.037,0.986,-0.212,1.251,-0.397,-0.336,80.000,39681.000,1.000
11.659,-72.711,-89.929,5.567,-77.304,-50.736,-26.688,-0.317,-0.037,0.986,-0.210,1.312,-0.397,-0.366,80.000,39682.000,1.000
15.605,-65.307,-83.323,6.354,-59.043,-44.403,-18.499,4.852,-0.036,0.986,-0.208,1.312,-0.458,-0.275,80.000,39683.000,1.000
18.368,-59.277,-75.733,7.553,-42.745,-38.959,-12.165,6.622,-0.038,0.985,-0.207,1.343,-0.366,-0.214,80.000,39684.000,1.000
20.477,-53.991,-66.330,9.051,-28.471,-34.874,-7.430,5.404,-0.036,0.988,-0.209,1.465,-0.427,-0.183,80.000,39685.000,1.000
22.575,-48.814,-54.730,10.276,-16.295,-31.553,-3.921,3.876,-0.036,0.990,-0.207,1.373,-0.397,-0.183,80.000,39686.000,1.000
