EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.649,-135.334,-25.620,-10.122,-23.533,-106.433,-124.391,-48.201,-0.021,0.918,-0.452,0.519,-1.007,-0.458,73.333,30312.000,1.000
-1.591,-120.062,-23.769,-7.275,-21.119,-100.524,-118.680,-53.143,-0.024,0.918,-0.451,0.549,-0.946,-0.427,73.333,30313.000,1.000
-2.736,-106.454,-24.389,-7.785,-19.666,-97.748,-116.456,-57.866,-0.024,0.920,-0.451,0.580,-0.977,-0.458,73.333,30314.000,1.000
-5.351,-95.232,-27.431,-10.235,-18.378,-97.564,-116.142,-61.187,-0.026,0.919,-0.453,0.549,-0.916,-0.549,73.333,30315.000,1.000
-9.341,-85.798,-31.711,-12.499,-16.963,-98.179,-115.821,-61.532,-0.024,0.920,-0.452,0.519,-0.977,-0.580,73.333,30316.000,1.000
-14.200,-77.193,-35.657,-13.044,-15.764,-97.844,-114.291,-57.795,-0.024,0.920,-0.448,0.488,-0.732,-0.671,73.333,30317.000,1.000
-19.094,-69.181,-38.297,-11.672,-15.110,-95.778,-110.998,-49.511,-0.025,0.919,-0.452,0.549,-0.641,-0.671,73.333,30318.000,1.000
-23.107,-61.978,-39.599,-9.539,-14.908,-92.608,-106.886,-37.855,-0.025,0.920,-0.452,0.549,-0.671,-0.702,73.333,30319.000,1.000
-25.690,-56.005,-40.136,-8.144,-14.633,-89.536,-102.793,-24.666,-0.024,0.921,-0.451,0.519,-0.610,-0.854,73.333,30320.000,1.000
-26.844,-51.606,-40.402,-8.126,-13.799,-87.392,-99.053,-11.863,-0.023,0.921,-0.450,0.427,-0.427,-0.793,73.333,30321.000,1.000
-26.861,-49.091,-40.433,-8.688,-12.190,-85.977,-95.138,-0.528,-0.024,0.922,-0.449,0.488,-0.427,-0.793,73.333,30322.000,1.000
-25.991,-48.757,-40.044,-8.227,-9.887,-84.248,-89.527,9.512,-0.023,0.920,-0.448,0.519,-0.458,-0.793,73.333,30323.000,1.000
-24.270,-50.092,-39.082,-5.572,-7.289,-81.274,-81.708,18.181,-0.025,0.920,-0.447,0.549,-0.519,-0.793,73.333,30324.000,1.000
